机柜	节点	ip
V12	54.2	10.116.9.214
V12	54.4	10.116.9.225
V12	54.5	10.116.9.139
V12	54.6	10.116.9.96
V12	54.8	10.116.9.95
V13	55.1	10.116.9.161
V13	55.5	10.116.9.123
V13	55.7	10.116.9.167
V13	56.1	10.116.9.215
V13	56.3	10.116.9.172
V13	56.5	10.116.9.81
V13	56.6	10.116.9.192
V13	56.7	10.116.9.65
V13	56.8	10.116.9.195
V13	57.2	10.116.9.201
V13	57.3	10.116.9.99
V13	57.4	10.116.9.197
V13	57.6	10.116.9.104
V13	58.1	10.116.9.128
V13	58.2	10.116.9.153
V13	58.3	10.116.9.163
V13	58.4	10.116.9.168
V13	58.5	10.116.9.220
V13	58.7	10.116.9.155
V13	59.3	10.116.9.76
V13	59.4	10.116.9.228
V13	59.5	10.116.9.208
V13	59.8	10.116.9.227
V14	60.2	10.116.9.117
V14	60.1	10.116.9.173
V14	60.3	10.116.9.219
V14	60.5	10.116.9.178
V14	60.8	10.116.9.213
V14	61.2	10.116.9.108
V14	61.4	10.116.9.187
V14	61.3	10.116.9.61
V14	61.6	10.116.9.145
V14	62.2	10.116.9.143
V14	62.1	10.116.9.122
V14	62.3	10.116.9.194
V14	62.7	10.116.9.231
V14	63.3	10.116.9.184
V14	63.5	10.116.9.131
V14	63.8	10.116.9.205
V14	63.7	10.116.9.134
V14	64.1	10.116.9.142
V14	64.5	10.116.9.212
V14	64.8	10.116.9.188
V14	64.7	10.116.9.116
V15	65.1	10.116.9.204
V15	65.3	10.116.9.175
V15	65.7	10.116.9.140
V15	65.8	10.116.9.222
V15	66.2	10.116.9.73
V15	66.7	10.116.9.69
V15	66.8	10.116.9.154
V15	67.1	10.116.9.176
V15	67.3	10.116.9.193
V15	67.5	10.116.9.60
V15	67.6	10.116.9.97
V15	68.3	10.116.9.84
V15	68.7	10.116.9.146
V15	69.4	10.116.9.72
V15	69.5	10.116.9.189
V15	69.6	10.116.9.185
V15	69.7	10.116.9.64
V16	70.2	10.116.9.232
V16	70.7	10.116.9.210
V16	70.8	10.116.9.152
V16	71.1	10.116.9.127
V16	71.3	10.116.9.109
V16	71.5	10.116.9.211
V16	71.8	10.116.9.177
V16	72.1	10.116.9.206
V16	72.2	10.116.9.162
V16	72.3	10.116.9.230
V16	72.5	10.116.9.103
V16	72.6	10.116.9.68
V16	72.7	10.116.9.174
V16	72.8	10.116.9.62
V16	73.2	10.116.9.57
V16	73.6	10.116.9.105
V16	73.8	10.116.9.75
V16	74.1	10.116.9.170
V16	74.2	10.116.9.132
V16	74.3	10.116.9.158
V16	74.5	10.116.9.106
V16	74.6	10.116.9.112
V16	74.7	10.116.9.221
V17	75.1	10.116.9.66
V17	75.5	10.116.9.90
V17	75.6	10.116.9.190
V17	75.7	10.116.9.179
V17	75.8	10.116.9.107
V17	76.2	10.116.9.92
V17	76.4	10.116.9.98
V17	76.5	10.116.9.114
V17	76.7	10.116.9.110
V17	76.8	10.116.9.186
V17	77.3	10.116.9.118
V17	77.6	10.116.9.88
V17	77.8	10.116.9.229
V17	78.2	10.116.9.101
V17	78.4	10.116.9.202
V17	78.5	10.116.9.160
V17	78.6	10.116.9.166
V14	61.8	10.116.9.233
V14	62.4	10.116.9.234
V14	62.5	10.116.9.235
V14	62.6	10.116.9.236
V14	62.8	10.116.9.237
V14	63.1	10.116.9.238
V14	63.2	10.116.9.239
V14	63.4	10.116.9.240
V14	63.6	10.116.9.241
V14	64.2	10.116.9.242
V14	64.3	10.116.9.243
V14	64.4	10.116.9.244
V14	64.6	10.116.9.245
V15	65.2	10.116.9.246
V15	65.4	10.116.9.247
V15	65.5	10.116.9.248
V15	65.6	10.116.9.249
V15	66.1	10.116.9.250
V15	66.3	10.116.9.251
V15	66.4	10.116.9.252
V15	66.5	10.116.9.253
V15	66.6	10.116.9.254
V15	67.2	10.116.10.1
V15	67.4	10.116.10.2
V15	67.7	10.116.10.3
V15	67.8	10.116.10.4
V15	68.1	10.116.10.5
V15	68.2	10.116.10.6
V15	68.4	10.116.10.7
V15	68.5	10.116.10.8
V15	68.6	10.116.10.9
V15	68.8	10.116.10.10
V15	69.1	10.116.10.11
V15	69.2	10.116.10.12
V15	69.3	10.116.10.13
V15	69.8	10.116.10.14
V16	70.1	10.116.10.15
V16	70.3	10.116.10.16
V16	70.4	10.116.10.17
V16	70.5	10.116.10.18
V16	70.6	10.116.10.19
V16	71.2	10.116.10.20
V16	71.4	10.116.10.21
V16	71.6	10.116.10.22
V16	71.7	10.116.10.23
V16	72.4	10.116.10.24
V16	73.1	10.116.10.25
V16	73.3	10.116.10.26
V16	73.4	10.116.10.27
V16	73.5	10.116.10.28
V16	73.7	10.116.10.29
V16	74.4	10.116.10.30
V16	74.8	10.116.10.31
V17	75.2	10.116.10.32
V17	75.3	10.116.10.33
V17	75.4	10.116.10.34
V17	76.1	10.116.10.35
V17	76.3	10.116.10.36
V17	76.6	10.116.10.37
V17	77.1	10.116.10.38
V17	77.2	10.116.10.39
V17	77.4	10.116.10.40
V17	77.5	10.116.10.41
V17	77.7	10.116.10.42
V17	78.1	10.116.10.43
V17	78.3	10.116.10.44
V17	78.7	10.116.10.45
V17	78.8	10.116.10.46
V17	79.1	10.116.10.47
V17	79.2	10.116.10.48
V17	79.3	10.116.10.49
V17	79.4	10.116.10.50
S01	1.1	10.116.10.51
S01	1.2	10.116.10.52
S01	2.1	10.116.10.53
S01	2.2	10.116.10.54
S01	3.1	10.116.10.55
S01	3.2	10.116.10.56
S01	4.1	10.116.10.57
S01	4.2	10.116.10.58
S01	5.1	10.116.10.59
S01	5.2	10.116.10.60
S01	6.1	10.116.10.61
S01	6.2	10.116.10.62
S01	7.1	10.116.10.63
S01	7.2	10.116.10.64
S01	8.1	10.116.10.65
S01	8.2	10.116.10.66
S01	9.1	10.116.10.67
S01	9.2	10.116.10.68
S01	10.1	10.116.10.69
S01	10.2	10.116.10.70
S01	11.1	10.116.10.71
S01	11.2	10.116.10.72
S01	12.1	10.116.10.73
S01	12.2	10.116.10.74
S01	13.1	10.116.10.75
S01	13.2	10.116.10.76
S01	14.1	10.116.10.77
S01	14.2	10.116.10.78
S01	15.1	10.116.10.79
S01	15.2	10.116.10.80
S01	16.1	10.116.10.81
S01	16.2	10.116.10.82
S01	17.1	10.116.10.83
S01	17.2	10.116.10.84
S01	18.1	10.116.10.85
S01	18.2	10.116.10.86
S01	19.1	10.116.10.87
S01	19.2	10.116.10.88
S01	20.1	10.116.10.89
S01	20.2	10.116.10.90
S16	1u-1	10.116.10.91
S16	1u-2	10.116.10.92
S16	1u-3	10.116.10.93
S16	1u-4	10.116.10.94
S16	1u-5	10.116.10.95
S16	1u-6	10.116.10.96
S16	1u-7	10.116.10.97
S16	1u-8	10.116.10.98
S16	9u-1	10.116.10.99
S16	9u-2	10.116.10.100
S16	9u-3	10.116.10.101
S16	9u-4	10.116.10.102
S16	9u-5	10.116.10.103
S16	9u-6	10.116.10.104
S16	9u-7	10.116.10.105
S16	9u-8	10.116.10.106
S16	16u-1	10.116.10.107
S16	16u-2	10.116.10.108
S16	16u-3	10.116.10.109
S16	16u-4	10.116.10.110
S16	16u-5	10.116.10.111
S16	16u-6	10.116.10.112
S16	16u-7	10.116.10.113
S16	16u-8	10.116.10.114
S16	26u-1	10.116.10.115
S16	26u-2	10.116.10.116
S16	26u-3	10.116.10.117
S16	26u-4	10.116.10.118
S16	26u-5	10.116.10.119
S16	26u-6	10.116.10.120
S16	26u-7	10.116.10.121
S16	26u-8	10.116.10.122
S16	35u-1	10.116.10.123
S16	35u-2	10.116.10.124
S16	35u-3	10.116.10.125
S16	35u-4	10.116.10.126
S16	35u-5	10.116.10.127
S16	35u-6	10.116.10.128
S16	35u-7	10.116.10.129
S16	35u-8	10.116.10.130
S17	1u-1	10.116.10.131
S17	1u-2	10.116.10.132
S17	1u-3	10.116.10.133
S17	1u-4	10.116.10.134
S17	1u-5	10.116.10.135
S17	1u-6	10.116.10.136
S17	1u-7	10.116.10.137
S17	1u-8	10.116.10.138
S17	9u-1	10.116.10.139
S17	9u-2	10.116.10.140
S17	9u-3	10.116.10.141
S17	9u-4	10.116.10.142
S17	9u-5	10.116.10.143
S17	9u-6	10.116.10.144
S17	9u-7	10.116.10.145
S17	9u-8	10.116.10.146
S17	16u-1	10.116.10.147
S17	16u-2	10.116.10.148
S17	16u-3	10.116.10.149
S17	16u-4	10.116.10.150
S17	16u-5	10.116.10.151
S17	16u-6	10.116.10.152
S17	16u-7	10.116.10.153
S17	16u-8	10.116.10.154
S17	26u-1	10.116.10.155
S17	26u-2	10.116.10.156
S17	26u-3	10.116.10.157
S17	26u-4	10.116.10.158
S17	26u-5	10.116.10.159
S17	26u-6	10.116.10.160
S17	26u-7	10.116.10.161
S17	26u-8	10.116.10.162
s19	1.1	10.116.10.163
s19	1.2	10.116.10.164
s19	2.1	10.116.10.165
s19	2.2	10.116.10.166
s19	3.1	10.116.10.167
s19	3.2	10.116.10.168
s19	4.1	10.116.10.169
s19	4.2	10.116.10.170
s19	5.1	10.116.10.171
s19	5.2	10.116.10.172
s19	6.1	10.116.10.173
s19	6.2	10.116.10.174
s19	7.1	10.116.10.175
s19	7.2	10.116.10.176
s19	8.1	10.116.10.177
s19	8.2	10.116.10.178
s19	9.1	10.116.10.179
s19	9.2	10.116.10.180
s19	10.1	10.116.10.181
s19	10.2	10.116.10.182
s19	11.1	10.116.10.183
s19	11.2	10.116.10.184
s19	12.1	10.116.10.185
s19	12.2	10.116.10.186
s19	13.1	10.116.10.187
s19	13.2	10.116.10.188
s19	14.1	10.116.10.189
s19	14.2	10.116.10.190
s19	15.1	10.116.10.191
s19	15.2	10.116.10.192
s19	16.1	10.116.10.193
s19	16.2	10.116.10.194
s19	17.1	10.116.10.195
s19	17.2	10.116.10.196
s19	18.1	10.116.10.197
s19	18.2	10.116.10.198
s19	19.1	10.116.10.199
s19	19.2	10.116.10.200
s19	20.1	10.116.10.201
s19	20.2	10.116.10.202
s02	1.1	10.116.10.203
s02	1.2	10.116.10.204
s02	1.3	10.116.10.205
s02	1.4	10.116.10.206
s02	1.5	10.116.10.207
s02	1.6	10.116.10.208
s02	1.7	10.116.10.209
s02	1.8	10.116.10.210
s02	2.1	10.116.10.211
s02	2.2	10.116.10.212
s02	2.3	10.116.10.213
s02	2.4	10.116.10.214
s02	2.5	10.116.10.215
s02	2.6	10.116.10.216
s02	2.7	10.116.10.217
s02	2.8	10.116.10.218
s02	9.1	10.116.10.219
s02	9.2	10.116.10.220
s02	10.1	10.116.10.221
s02	10.2	10.116.10.222
s02	11.1	10.116.10.223
s02	11.2	10.116.10.224
s02	12.1	10.116.10.225
s02	12.2	10.116.10.226
s02	13.1	10.116.10.227
s02	13.2	10.116.10.228
s02	14.1	10.116.10.229
s02	14.2	10.116.10.230
s02	15.1	10.116.10.231
s02	15.2	10.116.10.232
s02	16.1	10.116.10.233
s02	16.2	10.116.10.234
s02	17.1	10.116.10.235
s02	17.2	10.116.10.236
s02	18.1	10.116.10.237
s02	18.2	10.116.10.238
s02	19.1	10.116.10.239
s02	19.2	10.116.10.240
s02	20.1	10.116.10.241
s02	20.2	10.116.10.242
s20	1.1	10.116.10.243
s20	1.2	10.116.10.244
s20	2.1	10.116.10.245
s20	2.2	10.116.10.246
s20	3.1	10.116.10.247
s20	3.2	10.116.10.248
s20	4.1	10.116.10.249
s20	4.2	10.116.10.250
s20	5.1	10.116.10.251
s20	5.2	10.116.10.252
s20	6.1	10.116.10.253
s20	6.2	10.116.10.254
s20	7.1	10.116.11.1
s20	7.2	10.116.11.2
s20	8.1	10.116.11.3
